condition,model,resting_face,share_pct,wilson_lo,wilson_hi
congruent,gpt_hi,small_face,100.0,96.2,100.0
congruent,gpt_hi,large_face,0.0,0.0,3.8
congruent,gemini,small_face,100.0,96.2,100.0
congruent,gemini,large_face,0.0,0.0,3.8
congruent,claude_md,small_face,100.0,96.2,100.0
congruent,claude_md,large_face,0.0,0.0,3.8
congruent_face,gpt_hi,small_face,90.6,83.1,95.0
congruent_face,gpt_hi,large_face,1.0,0.2,5.7
congruent_face,gemini,small_face,100.0,96.2,100.0
congruent_face,gemini,large_face,0.0,0.0,3.8
congruent_face,claude_md,small_face,47.9,38.2,57.8
congruent_face,claude_md,large_face,53.1,43.2,62.8
conflict,gpt_hi,small_face,0.0,0.0,3.8
conflict,gpt_hi,large_face,100.0,96.2,100.0
conflict,gemini,small_face,0.0,0.0,3.8
conflict,gemini,large_face,100.0,96.2,100.0
conflict,claude_md,small_face,0.0,0.0,3.8
conflict,claude_md,large_face,100.0,96.2,100.0
conflict_face,gpt_hi,small_face,0.0,0.0,3.8
conflict_face,gpt_hi,large_face,89.6,81.9,94.2
conflict_face,gemini,small_face,0.0,0.0,3.8
conflict_face,gemini,large_face,100.0,96.2,100.0
conflict_face,claude_md,small_face,50.0,40.2,59.8
conflict_face,claude_md,large_face,42.7,33.3,52.7
dims,gpt_hi,small_face,94.8,88.4,97.8
dims,gpt_hi,large_face,92.7,85.7,96.4
dims,gemini,small_face,97.9,92.7,99.4
dims,gemini,large_face,51.0,41.2,60.8
dims,claude_md,small_face,46.9,37.2,56.8
dims,claude_md,large_face,57.3,47.3,66.7
