condition,model,resting_face,n_positions,n_proposals,franka_n,franka_share_pct,wilson_lo,wilson_hi
congruent,gpt_hi,small_face,32,96,96,100.0,96.2,100.0
congruent,gpt_hi,large_face,32,96,0,0.0,0.0,3.8
congruent,gemini,small_face,32,96,96,100.0,96.2,100.0
congruent,gemini,large_face,32,96,0,0.0,0.0,3.8
congruent,claude_md,small_face,32,96,96,100.0,96.2,100.0
congruent,claude_md,large_face,32,96,0,0.0,0.0,3.8
dims,gpt_hi,small_face,32,96,91,94.8,88.4,97.8
dims,gpt_hi,large_face,32,96,89,92.7,85.7,96.4
dims,gemini,small_face,32,96,94,97.9,92.7,99.4
dims,gemini,large_face,32,96,49,51.0,41.2,60.8
dims,claude_md,small_face,32,96,45,46.9,37.2,56.8
dims,claude_md,large_face,32,96,55,57.3,47.3,66.7
