condition,model,position_id,contrast,diff_pts
congruent,gpt_hi,e00,small_minus_large,100.0
congruent,gpt_hi,e01,small_minus_large,100.0
congruent,gpt_hi,e03,small_minus_large,100.0
congruent,gpt_hi,e04,small_minus_large,100.0
congruent,gpt_hi,e05,small_minus_large,100.0
congruent,gpt_hi,e06,small_minus_large,100.0
congruent,gpt_hi,e07,small_minus_large,100.0
congruent,gpt_hi,e08,small_minus_large,100.0
congruent,gpt_hi,e09,small_minus_large,100.0
congruent,gpt_hi,e11,small_minus_large,100.0
congruent,gpt_hi,e12,small_minus_large,100.0
congruent,gpt_hi,e13,small_minus_large,100.0
congruent,gpt_hi,e14,small_minus_large,100.0
congruent,gpt_hi,e15,small_minus_large,100.0
congruent,gpt_hi,e16,small_minus_large,100.0
congruent,gpt_hi,w00,small_minus_large,100.0
congruent,gpt_hi,w01,small_minus_large,100.0
congruent,gpt_hi,w02,small_minus_large,100.0
congruent,gpt_hi,w03,small_minus_large,100.0
congruent,gpt_hi,w04,small_minus_large,100.0
congruent,gpt_hi,w05,small_minus_large,100.0
congruent,gpt_hi,w06,small_minus_large,100.0
congruent,gpt_hi,w07,small_minus_large,100.0
congruent,gpt_hi,w08,small_minus_large,100.0
congruent,gpt_hi,w09,small_minus_large,100.0
congruent,gpt_hi,w10,small_minus_large,100.0
congruent,gpt_hi,w11,small_minus_large,100.0
congruent,gpt_hi,w12,small_minus_large,100.0
congruent,gpt_hi,w13,small_minus_large,100.0
congruent,gpt_hi,w14,small_minus_large,100.0
congruent,gpt_hi,w15,small_minus_large,100.0
congruent,gpt_hi,w16,small_minus_large,100.0
congruent,gemini,e00,small_minus_large,100.0
congruent,gemini,e01,small_minus_large,100.0
congruent,gemini,e03,small_minus_large,100.0
congruent,gemini,e04,small_minus_large,100.0
congruent,gemini,e05,small_minus_large,100.0
congruent,gemini,e06,small_minus_large,100.0
congruent,gemini,e07,small_minus_large,100.0
congruent,gemini,e08,small_minus_large,100.0
congruent,gemini,e09,small_minus_large,100.0
congruent,gemini,e11,small_minus_large,100.0
congruent,gemini,e12,small_minus_large,100.0
congruent,gemini,e13,small_minus_large,100.0
congruent,gemini,e14,small_minus_large,100.0
congruent,gemini,e15,small_minus_large,100.0
congruent,gemini,e16,small_minus_large,100.0
congruent,gemini,w00,small_minus_large,100.0
congruent,gemini,w01,small_minus_large,100.0
congruent,gemini,w02,small_minus_large,100.0
congruent,gemini,w03,small_minus_large,100.0
congruent,gemini,w04,small_minus_large,100.0
congruent,gemini,w05,small_minus_large,100.0
congruent,gemini,w06,small_minus_large,100.0
congruent,gemini,w07,small_minus_large,100.0
congruent,gemini,w08,small_minus_large,100.0
congruent,gemini,w09,small_minus_large,100.0
congruent,gemini,w10,small_minus_large,100.0
congruent,gemini,w11,small_minus_large,100.0
congruent,gemini,w12,small_minus_large,100.0
congruent,gemini,w13,small_minus_large,100.0
congruent,gemini,w14,small_minus_large,100.0
congruent,gemini,w15,small_minus_large,100.0
congruent,gemini,w16,small_minus_large,100.0
congruent,claude_md,e00,small_minus_large,100.0
congruent,claude_md,e01,small_minus_large,100.0
congruent,claude_md,e03,small_minus_large,100.0
congruent,claude_md,e04,small_minus_large,100.0
congruent,claude_md,e05,small_minus_large,100.0
congruent,claude_md,e06,small_minus_large,100.0
congruent,claude_md,e07,small_minus_large,100.0
congruent,claude_md,e08,small_minus_large,100.0
congruent,claude_md,e09,small_minus_large,100.0
congruent,claude_md,e11,small_minus_large,100.0
congruent,claude_md,e12,small_minus_large,100.0
congruent,claude_md,e13,small_minus_large,100.0
congruent,claude_md,e14,small_minus_large,100.0
congruent,claude_md,e15,small_minus_large,100.0
congruent,claude_md,e16,small_minus_large,100.0
congruent,claude_md,w00,small_minus_large,100.0
congruent,claude_md,w01,small_minus_large,100.0
congruent,claude_md,w02,small_minus_large,100.0
congruent,claude_md,w03,small_minus_large,100.0
congruent,claude_md,w04,small_minus_large,100.0
congruent,claude_md,w05,small_minus_large,100.0
congruent,claude_md,w06,small_minus_large,100.0
congruent,claude_md,w07,small_minus_large,100.0
congruent,claude_md,w08,small_minus_large,100.0
congruent,claude_md,w09,small_minus_large,100.0
congruent,claude_md,w10,small_minus_large,100.0
congruent,claude_md,w11,small_minus_large,100.0
